customer_id,custom_segment
CUST-00001,New Joiner
CUST-00002,Loyal
CUST-00003,Loyal
CUST-00004,At Risk
CUST-00005,Loyal
CUST-00006,Loyal
CUST-00007,New Joiner
CUST-00008,At Risk
CUST-00009,Loyal
CUST-00010,Dormant
CUST-00011,Loyal
CUST-00012,Loyal
CUST-00013,At Risk
CUST-00014,Loyal
CUST-00015,Loyal
CUST-00016,Loyal
CUST-00017,At Risk
CUST-00018,VIP
CUST-00019,Dormant
CUST-00020,At Risk
CUST-00021,Loyal
CUST-00022,Loyal
CUST-00023,VIP
CUST-00024,New Joiner
CUST-00025,Dormant
CUST-00026,At Risk
CUST-00027,VIP
CUST-00028,New Joiner
CUST-00029,Loyal
CUST-00030,Dormant
CUST-00031,New Joiner
CUST-00032,At Risk
CUST-00033,Loyal
CUST-00034,VIP
CUST-00035,Loyal
CUST-00036,At Risk
CUST-00037,Dormant
CUST-00038,VIP
CUST-00039,At Risk
CUST-00040,Dormant
CUST-00041,New Joiner
CUST-00042,Loyal
CUST-00043,Loyal
CUST-00044,VIP
CUST-00045,VIP
CUST-00046,Dormant
CUST-00047,New Joiner
CUST-00048,Loyal
CUST-00049,Loyal
CUST-00050,Dormant
CUST-00051,Loyal
CUST-00052,New Joiner
CUST-00053,Loyal
CUST-00054,VIP
CUST-00055,New Joiner
CUST-00056,At Risk
CUST-00057,VIP
CUST-00058,At Risk
CUST-00059,New Joiner
CUST-00060,New Joiner
CUST-00061,Loyal
CUST-00062,VIP
CUST-00063,Loyal
CUST-00064,Loyal
CUST-00065,VIP
CUST-00066,New Joiner
CUST-00067,VIP
CUST-00068,At Risk
CUST-00069,VIP
CUST-00070,Dormant
CUST-00071,At Risk
CUST-00072,At Risk
CUST-00073,At Risk
CUST-00074,VIP
CUST-00075,Dormant
CUST-00076,VIP
CUST-00077,VIP
CUST-00078,VIP
CUST-00079,New Joiner
CUST-00080,VIP
CUST-00081,Dormant
CUST-00082,Dormant
CUST-00083,At Risk
CUST-00084,Loyal
CUST-00085,New Joiner
CUST-00086,VIP
CUST-00087,Loyal
CUST-00088,Loyal
CUST-00089,At Risk
CUST-00090,Dormant
CUST-00091,At Risk
CUST-00092,At Risk
